City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
179,Zhigansk,RU,66.7697,123.3711,11.35,93,57,1.3,broken clouds
180,Lander,US,42.833,-108.7307,63.19,36,0,5.75,clear sky
181,Ambon,ID,-3.6954,128.1814,87.94,70,20,8.05,few clouds
182,Port Alfred,ZA,-33.5906,26.891,69.19,81,26,10.0,scattered clouds
183,Salinopolis,BR,-0.6136,-47.3561,80.73,76,97,13.47,overcast clouds
184,Morant Bay,JM,17.8815,-76.4093,82.02,83,5,4.7,clear sky
185,Kashan,IR,33.9831,51.4364,73.9,30,14,3.47,few clouds
186,Miandrivazo,MG,-19.5167,45.4667,87.17,45,0,2.13,clear sky
187,Yulara,AU,-25.2406,130.9889,83.39,21,0,8.5,clear sky
188,Yining,CN,29.0361,114.5636,80.53,23,97,3.15,overcast clouds
189,New Norfolk,AU,-42.7826,147.0587,60.89,57,12,1.99,few clouds
190,Saskylakh,RU,71.9167,114.0833,1.53,94,31,1.81,scattered clouds
191,Kununurra,AU,-15.7667,128.7333,102.18,22,98,10.54,overcast clouds
192,Porto Novo,BJ,6.4965,2.6036,80.42,88,33,5.1,scattered clouds
193,Salalah,OM,17.0151,54.0924,84.9,46,5,7.34,clear sky
194,Santo Tomas,PH,14.1079,121.1414,80.85,87,100,2.44,overcast clouds
195,Buchanan,LR,5.8808,-10.0467,74.23,94,100,6.35,light rain
196,Kitale,KE,1.0157,35.0062,71.96,58,100,0.38,overcast clouds
197,Port Hueneme,US,34.1478,-119.1951,74.52,54,0,0.0,clear sky
198,Baykit,RU,61.67,96.37,37.13,71,100,5.84,overcast clouds
199,Bousso,TD,10.4795,16.7117,81.59,62,98,3.6,overcast clouds
200,Walvis Bay,NA,-22.9575,14.5053,60.1,88,100,3.44,overcast clouds
201,Deputatskiy,RU,69.3,139.9,-5.15,88,41,6.58,scattered clouds
202,Te Anau,NZ,-45.4167,167.7167,45.03,85,64,2.55,broken clouds
203,Lucapa,AO,-8.4192,20.7447,71.85,80,100,3.29,overcast clouds
204,Porto Velho,BR,-8.7619,-63.9039,77.05,94,0,3.44,light rain
205,Kavaratti,IN,10.5669,72.642,80.64,80,95,8.48,light rain
206,Vilhena,BR,-12.7406,-60.1458,68.16,96,88,4.72,overcast clouds
207,Saldanha,ZA,-33.0117,17.9442,64.45,78,4,10.16,clear sky
208,Camacha,PT,33.0833,-16.3333,67.42,94,40,10.36,light intensity drizzle rain
209,Airai,TL,-8.9266,125.4092,69.76,79,100,1.16,overcast clouds
210,Los Llanos De Aridane,ES,28.6585,-17.9182,62.35,37,0,8.01,clear sky
211,Laguna,US,38.421,-121.4238,71.31,57,0,5.75,clear sky
212,Hami,CN,42.8,93.45,61.07,27,71,10.0,broken clouds
213,Bandarbeyla,SO,9.4942,50.8122,85.55,63,18,15.08,few clouds
214,Stephenville Crossing,CA,48.5,-58.4318,62.73,82,100,21.85,overcast clouds
215,Prainha,BR,-1.8,-53.48,73.45,96,88,3.0,overcast clouds
216,Hualmay,PE,-11.0964,-77.6139,60.04,87,100,10.18,overcast clouds
217,Marawi,PH,7.9986,124.2928,74.59,90,100,1.39,light rain
218,Pervomaysk,UA,48.0443,30.8507,41.95,62,100,21.05,overcast clouds
219,Swift Current,CA,50.2834,-107.8014,49.01,37,0,13.8,clear sky
220,Codrington,AU,-38.2667,141.9667,62.94,78,0,11.25,clear sky
221,Paamiut,GL,61.994,-49.6678,28.56,48,70,15.17,broken clouds
222,Karachev,RU,53.1229,34.9852,42.51,87,100,9.64,overcast clouds
223,Saint-Joseph,RE,-21.3667,55.6167,77.38,68,20,11.86,few clouds
224,Longyearbyen,SJ,78.2186,15.6401,28.24,64,40,17.27,scattered clouds
225,Luganville,VU,-15.5333,167.1667,78.82,85,38,8.9,scattered clouds
